id,score,ac_rate,1a_rate,avg_ac_time,avg_score,score_rate,total_submit,ac_Nums,1a_Nums,ac_time,total_score,user_Nums
agc003A,200,64.57925636007828,73.93939393939394,155.8090909090909,192.7007299270073,96.35036496350365,1022.0,660.0,488.0,102834.0,1320.0,685.0
agc003B,400,30.83700440528635,44.28571428571429,619.4265306122447,309.1482649842271,77.28706624605678,1589.0,490.0,217.0,303519.0,1960.0,634.0
agc003C,600,43.45307068366164,74.66666666666667,289.1786666666667,468.75,78.125,863.0,375.0,280.0,108442.0,2250.0,480.0
agc003D,1100,15.538847117794486,29.032258064516128,1006.3064516129033,445.7516339869282,40.52287581699347,399.0,62.0,18.0,62391.0,682.0,153.0
agc003E,1400,23.36448598130841,56.00000000000001,184.92,593.2203389830509,42.3728813559322,107.0,25.0,14.0,4623.0,350.0,59.0
agc003F,1700,55.00000000000001,36.36363636363637,207.3636363636364,1700.0,100.0,20.0,11.0,4.0,2281.0,187.0,11.0
agc006A,200,55.660377358490564,68.41294298921417,256.7981510015408,185.1640513552068,92.58202567760344,1166.0,649.0,444.0,166662.0,1298.0,701.0
agc006B,400,29.440789473684212,36.31284916201117,1030.4385474860337,300.20964360587004,75.05241090146751,1216.0,358.0,130.0,368897.0,1432.0,477.0
agc006C,800,9.384164222873899,46.875,303.3125,195.41984732824426,24.427480916030532,341.0,32.0,15.0,9706.0,256.0,131.0
agc006D,1300,11.946902654867255,70.37037037037038,316.962962962963,261.94029850746267,20.14925373134329,226.0,27.0,19.0,8558.0,351.0,134.0
agc006E,1500,24.731182795698924,56.52173913043478,362.1739130434783,821.4285714285713,54.76190476190475,93.0,23.0,13.0,8330.0,345.0,42.0
agc006F,1700,22.222222222222207,50.0,458.83333333333326,566.6666666666667,33.333333333333336,27.0,6.0,3.0,2753.0,102.0,18.0
agc009A,300,40.01363326516701,56.04770017035775,421.3918228279386,265.6108597285068,88.53695324283562,1467.0,587.0,329.0,247357.0,1761.0,663.0
agc009B,800,35.46910755148742,65.48387096774194,517.4096774193548,546.2555066079295,68.28193832599119,874.0,310.0,203.0,160397.0,2480.0,454.0
agc009C,1100,32.1875,54.36893203883496,397.5242718446602,703.7267080745341,63.975155279503106,320.0,103.0,56.0,40945.0,1133.0,161.0
agc009D,1400,12.698412698412698,56.25,847.0,379.66101694915255,27.118644067796605,126.0,16.0,9.0,13552.0,224.0,59.0
agc009E,1600,66.66666666666666,83.33333333333334,11.833333333333336,1371.4285714285713,85.71428571428571,18.0,12.0,10.0,142.0,192.0,14.0
agc010A,300,73.4862385321101,80.89887640449437,94.90761548064918,294.124847001224,98.04161566707468,1090.0,801.0,648.0,76021.0,2403.0,817.0
agc010B,500,14.30642822619623,41.21621621621622,695.3378378378377,236.0446570972887,47.208931419457734,2069.0,296.0,122.0,205820.0,1480.0,627.0
agc010C,700,26.78260869565217,44.805194805194795,489.2792207792208,470.7423580786026,67.24890829694323,575.0,154.0,69.0,75349.0,1078.0,229.0
agc010D,1000,23.07692307692308,42.028985507246375,497.5507246376812,565.5737704918033,56.55737704918032,299.0,69.0,29.0,34331.0,690.0,122.0
agc010E,1600,17.857142857142858,60.0,406.4,444.4444444444445,27.777777777777786,28.0,5.0,3.0,2032.0,80.0,18.0
agc010F,1600,72.72727272727273,85.71428571428571,45.28571428571429,1445.1612903225805,90.32258064516128,77.0,56.0,48.0,2536.0,896.0,62.0
agc013A,300,45.221295702373325,63.40425531914894,397.36879432624113,266.03773584905656,88.67924528301887,1559.0,705.0,447.0,280145.0,2115.0,795.0
agc013B,500,31.4975845410628,59.8159509202454,390.94785276073617,371.2984054669704,74.25968109339408,1035.0,326.0,195.0,127449.0,1630.0,439.0
agc013C,700,16.417910447761194,42.72727272727273,812.0363636363637,318.1818181818182,45.45454545454545,670.0,110.0,47.0,89324.0,770.0,242.0
agc013D,900,57.44680851063831,74.07407407407408,101.74074074074076,623.0769230769231,69.23076923076923,47.0,27.0,20.0,2747.0,243.0,39.0
agc013E,1600,66.66666666666666,60.0,254.4,1454.5454545454545,90.9090909090909,15.0,10.0,6.0,2544.0,160.0,11.0
agc013F,2000,33.33333333333333,50.0,1078.5,2000.0,100.0,6.0,2.0,1.0,2157.0,40.0,2.0
agc014A,300,47.13091922005572,60.28368794326241,270.9905437352246,277.3770491803279,92.45901639344265,1795.0,846.0,510.0,229258.0,2538.0,915.0
agc014B,500,64.2548596112311,82.01680672268907,117.27058823529413,460.5263157894737,92.10526315789473,926.0,595.0,488.0,69776.0,2975.0,646.0
agc014C,700,26.439790575916227,48.5148514851485,575.0297029702971,492.1113689095128,70.30162412993039,1146.0,303.0,147.0,174234.0,2121.0,431.0
agc014D,900,16.0,53.48837209302325,751.8139534883722,438.5269121813031,48.72521246458923,1075.0,172.0,92.0,129312.0,1548.0,353.0
agc014E,1400,15.573770491803279,47.368421052631575,382.2105263157895,542.8571428571429,38.775510204081634,122.0,19.0,9.0,7262.0,266.0,49.0
agc014F,2400,1.8181818181818181,0.0,3517.0,88.88888888888891,3.7037037037037033,55.0,1.0,0.0,3517.0,24.0,27.0
agc015A,200,51.232166018158225,65.82278481012658,151.5139240506329,181.19266055045867,90.59633027522936,1542.0,790.0,520.0,119696.0,1580.0,872.0
agc015B,400,69.05187835420394,77.33160621761658,152.60621761658032,380.29556650246315,95.07389162561577,1118.0,772.0,597.0,117812.0,3088.0,812.0
agc015C,700,49.843260188087775,74.84276729559748,144.05031446540883,494.6666666666666,70.66666666666667,319.0,159.0,119.0,22904.0,1113.0,225.0
agc015D,900,28.340080971659926,42.857142857142854,450.54285714285714,543.1034482758621,60.3448275862069,247.0,70.0,30.0,31538.0,630.0,116.0
agc015E,1200,54.54545454545454,33.33333333333333,240.66666666666663,1028.5714285714287,85.71428571428572,11.0,6.0,2.0,1444.0,72.0,7.0
agc015F,1700,50.0,0.0,884.0,1700.0,100.0,2.0,1.0,0.0,884.0,17.0,1.0
agc016A,300,66.12627986348123,80.25806451612904,98.29677419354843,278.1100478468899,92.70334928229664,1172.0,775.0,622.0,76180.0,2325.0,836.0
agc016B,700,33.53893600616808,59.31034482758621,427.4850574712643,558.7155963302754,79.8165137614679,1297.0,435.0,258.0,185956.0,3045.0,545.0
agc016C,700,25.181818181818183,32.851985559566785,733.3935018050541,471.7761557177615,67.39659367396594,1100.0,277.0,91.0,203150.0,1939.0,411.0
agc016D,1000,14.252336448598127,59.016393442622956,413.0491803278688,338.8888888888889,33.888888888888886,428.0,61.0,36.0,25196.0,610.0,180.0
agc016E,1400,48.42105263157895,65.21739130434783,298.9347826086956,975.7575757575756,69.6969696969697,95.0,46.0,30.0,13751.0,644.0,66.0
agc016F,1600,37.5,100.0,0.0,800.0,50.0,16.0,6.0,6.0,0.0,96.0,12.0
agc018A,300,28.64380358534684,66.93877551020408,366.9238095238095,230.8900523560209,76.96335078534031,2566.0,735.0,492.0,269689.0,2205.0,955.0
agc018B,700,42.226310947562105,60.34858387799565,343.3442265795207,572.7272727272727,81.81818181818183,1087.0,459.0,277.0,157595.0,3213.0,561.0
agc018C,800,19.301470588235293,59.04761904761904,525.0380952380954,333.33333333333337,41.66666666666667,544.0,105.0,62.0,55129.0,840.0,252.0
agc018D,1100,34.87394957983193,62.650602409638566,317.5060240963856,707.7519379844963,64.34108527131785,238.0,83.0,52.0,26353.0,913.0,129.0
agc018E,1600,50.0,100.0,0.0,800.0,50.0,6.0,3.0,3.0,0.0,48.0,6.0
agc018F,1700,5.434782608695652,60.0,238.4,607.1428571428571,35.714285714285715,92.0,5.0,3.0,1192.0,85.0,14.0
agc023A,200,27.46705710102489,58.422174840085276,457.85394456289976,127.35913102511878,63.67956551255939,3415.0,938.0,548.0,429467.0,1876.0,1473.0
agc023B,500,39.87421383647799,63.40694006309149,439.19558359621453,374.70449172576826,74.94089834515366,1590.0,634.0,402.0,278450.0,3170.0,846.0
agc023C,800,55.45023696682463,86.32478632478632,82.53846153846153,574.2331288343559,71.77914110429448,211.0,117.0,101.0,9657.0,936.0,163.0
agc023D,1200,32.967032967032964,43.33333333333334,471.53333333333336,818.1818181818181,68.18181818181817,91.0,30.0,13.0,14146.0,360.0,44.0
agc023E,1700,46.66666666666666,28.57142857142857,227.42857142857144,1190.0,70.0,15.0,7.0,2.0,1592.0,119.0,10.0
agc023F,1700,44.15584415584416,73.52941176470588,118.14705882352942,1133.3333333333335,66.66666666666667,77.0,34.0,25.0,4017.0,578.0,51.0
agc026A,200,75.15151515151514,86.23655913978494,95.31612903225808,194.15448851774534,97.07724425887264,2475.0,1860.0,1604.0,177288.0,3720.0,1916.0
agc026B,600,13.78640776699029,66.80080482897385,646.5372233400403,243.2300163132137,40.53833605220228,3605.0,497.0,332.0,321329.0,2982.0,1226.0
agc026C,600,73.73913043478261,88.4433962264151,95.54481132075472,538.9830508474577,89.83050847457628,575.0,424.0,375.0,40511.0,2544.0,472.0
agc026D,1100,67.96875,82.75862068965517,57.87356321839081,911.4285714285713,82.85714285714283,128.0,87.0,72.0,5035.0,957.0,105.0
agc026E,1600,37.12121212121213,63.265306122448976,300.3265306122449,1104.2253521126759,69.01408450704226,132.0,49.0,31.0,14716.0,784.0,71.0
agc026F,2000,20.51282051282051,75.0,216.5,761.9047619047618,38.095238095238095,39.0,8.0,6.0,1732.0,160.0,21.0
agc032A,400,45.447705041384495,78.64238410596026,247.51903973509928,299.75186104218363,74.93796526054591,2658.0,1208.0,950.0,299003.0,4832.0,1612.0
agc032B,700,67.17325227963525,77.94117647058823,109.68099547511312,631.4285714285714,90.20408163265309,1316.0,884.0,689.0,96958.0,6188.0,980.0
agc032C,800,13.133333333333333,19.289340101522843,1206.9035532994924,323.6139630390144,40.4517453798768,1500.0,197.0,38.0,237760.0,1576.0,487.0
agc032D,1000,35.46325878594249,79.27927927927928,198.68468468468467,590.4255319148937,59.04255319148936,313.0,111.0,88.0,22054.0,1110.0,188.0
agc032E,1200,24.13793103448276,66.66666666666666,166.85714285714286,536.1702127659574,44.680851063829785,87.0,21.0,14.0,3504.0,252.0,47.0
agc032F,1800,40.0,100.0,0.0,720.0,40.0,10.0,4.0,4.0,0.0,72.0,10.0
agc036A,400,21.831401061112203,45.994599459946,783.9243924392439,243.7739989029073,60.943499725726824,5089.0,1111.0,511.0,870940.0,4444.0,1823.0
agc036B,700,23.241271495570608,48.4304932735426,705.8430493273543,389.2768079800499,55.610972568578546,1919.0,446.0,216.0,314806.0,3122.0,802.0
agc036C,900,52.06349206349207,73.78048780487805,134.57926829268294,644.5414847161572,71.61572052401745,315.0,164.0,121.0,22071.0,1476.0,229.0
agc036D,1200,46.511627906976734,85.0,304.5,727.2727272727273,60.60606060606061,43.0,20.0,17.0,6090.0,240.0,33.0
agc036E,1500,9.677419354838714,16.666666666666664,660.0,321.42857142857144,21.42857142857143,62.0,6.0,1.0,3960.0,90.0,28.0
agc036F,1800,28.57142857142857,83.33333333333334,4.166666666666667,900.0,50.0,21.0,6.0,5.0,25.0,108.0,12.0
agc037A,300,44.845857418111756,68.74328678839957,437.562298603652,249.59785522788204,83.19928507596069,4152.0,1862.0,1280.0,814741.0,5586.0,2238.0
agc037B,800,40.55944055944056,77.15517241379311,282.7801724137931,508.4931506849317,63.561643835616465,572.0,232.0,179.0,65605.0,1856.0,365.0
agc037C,800,19.765664798777387,34.5360824742268,794.3067010309277,467.4698795180723,58.433734939759034,1963.0,388.0,134.0,308191.0,3104.0,664.0
agc037D,1100,18.336483931947075,75.25773195876289,352.8762886597938,437.2950819672132,39.75409836065575,529.0,97.0,73.0,34229.0,1067.0,244.0
agc037E,1300,32.58064516129032,65.34653465346534,321.3366336633664,965.4411764705882,74.26470588235293,310.0,101.0,66.0,32455.0,1313.0,136.0
agc037F,1800,38.888888888888886,100.0,0.0,840.0,46.66666666666666,18.0,7.0,7.0,0.0,126.0,15.0
agc040A,300,43.93196886710868,60.30183727034122,359.6122047244094,253.4368070953436,84.47893569844787,3469.0,1524.0,919.0,548049.0,4572.0,1804.0
agc040B,600,15.520833333333336,31.31991051454139,1328.013422818792,318.14946619217085,53.02491103202848,2880.0,447.0,140.0,593622.0,2682.0,843.0
agc040C,800,57.03125,84.93150684931506,71.82191780821918,595.9183673469388,74.48979591836735,128.0,73.0,62.0,5243.0,584.0,98.0
agc040D,1100,10.344827586206897,73.33333333333333,358.26666666666665,343.75,31.25,145.0,15.0,11.0,5374.0,165.0,48.0
agc040E,1400,25.80645161290323,75.0,354.75,589.4736842105262,42.105263157894726,31.0,8.0,6.0,2838.0,112.0,19.0
agc040F,2200,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
agc044A,400,26.094727435210014,67.97945205479452,296.9554794520548,174.1983594332587,43.549589858314675,2238.0,584.0,397.0,173422.0,2336.0,1341.0
agc044B,700,22.751070918610182,70.0836820083682,472.77824267782427,313.0028063610851,44.71468662301215,2101.0,478.0,335.0,225988.0,3346.0,1069.0
agc044C,1000,17.16101694915254,71.60493827160494,101.35802469135805,338.9121338912134,33.89121338912134,472.0,81.0,58.0,8210.0,810.0,239.0
agc044D,1100,10.352941176470589,40.90909090909091,538.0681818181819,387.2,35.2,425.0,44.0,18.0,23675.0,484.0,125.0
agc044E,1300,10.769230769230768,64.28571428571429,230.0,319.2982456140351,24.561403508771928,130.0,14.0,9.0,3220.0,182.0,57.0
agc044F,2400,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,48.0
agc045A,400,13.81026438569207,53.153153153153156,690.8490990990991,141.51394422310756,35.37848605577689,3215.0,444.0,236.0,306737.0,1776.0,1255.0
agc045B,800,12.619808306709265,49.36708860759494,712.4936708860761,244.015444015444,30.501930501930502,626.0,79.0,39.0,56287.0,632.0,259.0
agc045C,800,59.7560975609756,83.6734693877551,63.8061224489796,622.2222222222222,77.7777777777778,164.0,98.0,82.0,6253.0,784.0,126.0
agc045D,1200,50.0,69.23076923076923,77.61538461538461,780.0,65.0,26.0,13.0,9.0,1009.0,156.0,20.0
agc045E,1200,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,11.0
agc045F,1800,3.2258064516129035,0.0,304.0,100.0,5.5555555555555545,31.0,1.0,0.0,304.0,18.0,18.0
agc046A,200,45.92989848687991,72.81067556296914,287.45329441201,166.87543493389006,83.43771746694503,5221.0,2398.0,1746.0,689313.0,4796.0,2874.0
agc046B,600,61.989978525411594,79.21478060046189,107.45150115473442,531.2883435582822,88.54805725971372,1397.0,866.0,686.0,93053.0,5196.0,978.0
agc046C,800,56.797583081571,69.41489361702128,119.38829787234043,677.4774774774775,84.68468468468468,662.0,376.0,261.0,44890.0,3008.0,444.0
agc046D,1100,59.84848484848485,88.60759493670885,37.0,835.576923076923,75.96153846153845,132.0,79.0,70.0,2923.0,869.0,104.0
agc046E,1500,7.43801652892562,33.33333333333333,1169.888888888889,293.47826086956525,19.565217391304348,121.0,9.0,3.0,10529.0,135.0,46.0
agc046F,2000,53.84615384615385,71.42857142857143,101.85714285714286,1400.0,70.0,13.0,7.0,5.0,713.0,140.0,10.0
